N,P,K,temperature,humidity,ph,rainfall,label
55.21,48.05,31.05,20.1,68.44,6.13,94.81,horsegram
39.54,50.33,47.62,26.46,54.72,7.19,38.37,horsegram
28.86,47.67,32.25,25.82,54.2,6.8,68.3,horsegram
49.84,33.23,48.11,22.71,47.54,6.18,47.33,horsegram
24.78,41.43,50.49,21.85,46.49,6.73,95.21,horsegram
59.06,40.99,31.32,21.01,45.82,6.34,46.15,fieldpea
20.57,41.37,30.97,29.74,56.6,7.05,41.37,fieldpea
54.74,39.64,54.91,25.74,54.08,6.66,46.59,fieldpea
22.06,57.64,39.11,28.22,52.02,6.11,86.65,fieldpea
22.14,25.97,42.51,23.04,69.82,6.18,98.8,fieldpea
44.25,51.63,29.03,25.23,53.52,6.66,107.41,teparybean
59.6,32.22,44.84,26.1,62.2,7.42,48.7,teparybean
28.44,46.42,26.28,21.74,42.25,6.0,70.55,teparybean
43.75,31.65,29.26,27.07,61.09,6.68,91.86,teparybean
56.96,51.51,45.0,26.61,68.01,6.64,79.01,teparybean
45.91,56.34,53.07,20.71,44.98,6.46,97.41,soybean
42.77,31.54,24.97,26.89,60.99,7.41,75.04,soybean
39.75,23.22,21.59,24.32,49.67,6.38,38.22,soybean
58.48,53.44,43.01,29.51,69.99,7.01,54.26,soybean
21.61,50.25,38.82,26.52,67.48,6.27,82.68,soybean
71.74,44.67,28.65,22.87,50.0,7.01,107.2,groundnut
56.49,52.75,36.53,31.23,64.41,6.83,70.93,groundnut
55.73,37.93,63.81,23.66,55.44,7.48,89.19,groundnut
67.13,41.53,32.5,23.06,62.69,6.94,98.4,groundnut
50.18,46.97,62.11,24.13,60.95,6.18,117.58,groundnut
70.44,34.57,31.34,25.71,56.57,6.14,119.3,sunflower
85.65,43.46,29.7,29.65,54.95,7.07,75.8,sunflower
53.67,58.39,64.21,21.41,56.54,6.58,112.97,sunflower
65.41,60.17,59.56,21.87,63.7,6.62,114.08,sunflower
65.39,57.82,36.31,22.18,57.61,7.5,74.07,sunflower
47.43,46.54,38.8,25.73,56.3,6.68,58.96,sesame
49.43,52.9,47.87,21.27,63.27,6.07,97.02,sesame
75.26,57.46,40.44,27.29,64.62,7.47,74.58,sesame
41.85,45.09,48.61,30.18,66.23,6.66,77.34,sesame
62.85,53.9,41.4,27.17,44.63,6.7,117.23,sesame
56.93,52.71,50.99,29.92,65.57,7.29,64.2,mustard
55.83,53.75,55.38,30.21,41.08,6.1,86.8,mustard
86.05,64.9,54.87,24.08,42.95,6.95,108.53,mustard
62.18,52.76,61.14,18.64,63.88,6.44,63.74,mustard
47.28,46.25,47.64,29.1,45.1,6.12,108.38,mustard
70.99,34.63,61.51,20.0,53.83,6.38,52.98,rapeseed
40.47,57.19,61.05,27.49,44.74,6.66,61.1,rapeseed
69.38,50.56,41.97,21.5,65.36,6.3,64.62,rapeseed
64.16,34.49,47.88,26.05,69.78,6.44,118.02,rapeseed
72.91,35.98,47.64,27.6,62.34,6.07,84.58,rapeseed
64.84,61.17,36.45,29.18,58.21,6.53,87.3,linseed
71.04,52.11,53.84,27.23,65.15,6.94,111.31,linseed
72.32,37.36,42.63,26.11,61.97,6.14,56.56,linseed
77.37,32.03,30.29,25.55,69.14,6.8,112.21,linseed
81.52,35.28,57.99,24.75,64.19,7.12,60.48,linseed
45.76,63.52,30.63,31.53,65.8,7.09,118.19,castor
88.36,57.18,39.63,29.07,40.42,6.8,70.93,castor
73.64,51.89,48.38,29.51,68.21,6.16,51.04,castor
41.25,60.37,47.46,30.81,46.64,6.09,104.15,castor
85.47,37.09,41.33,19.96,68.39,6.46,74.34,castor
44.86,60.49,30.43,24.35,60.11,7.11,115.14,safflower
60.96,54.69,31.18,23.81,42.97,6.73,66.73,safflower
87.58,26.31,39.82,24.21,68.52,7.28,38.94,safflower
74.28,46.78,64.11,23.02,51.94,6.28,40.99,safflower
82.4,43.19,51.51,26.98,57.91,6.03,100.81,safflower
52.18,30.04,47.58,18.96,62.95,6.31,49.44,nigerseed
83.48,38.14,30.9,30.61,40.09,7.29,43.02,nigerseed
46.5,35.03,31.98,27.25,40.77,6.02,101.1,nigerseed
51.9,37.95,31.97,18.73,62.25,6.79,97.11,nigerseed
63.81,56.12,45.53,19.53,55.12,7.42,33.9,nigerseed
124.83,74.68,60.86,21.87,83.74,5.62,92.69,potato
98.11,67.44,59.61,28.65,52.57,5.66,106.91,potato
74.6,51.0,65.32,23.23,61.38,7.49,98.36,potato
101.76,64.22,43.97,25.53,79.85,6.8,124.59,potato
120.46,48.6,58.06,18.43,61.86,6.41,85.76,potato
76.66,57.07,66.6,20.61,55.34,7.35,47.38,tomato
128.22,43.73,43.86,26.08,78.41,6.61,104.51,tomato
109.31,53.19,44.89,20.3,73.29,7.0,135.49,tomato
120.47,78.74,64.02,20.27,70.23,5.93,112.24,tomato
85.7,44.33,73.81,20.51,76.69,6.65,128.79,tomato
129.16,78.98,72.74,24.2,72.49,5.55,142.2,onion
128.06,50.7,47.22,25.54,60.81,6.18,40.67,onion
130.89,62.65,56.03,17.13,72.16,5.56,122.07,onion
85.06,56.79,53.64,20.55,75.26,7.05,102.44,onion
75.95,42.1,46.3,24.27,73.59,6.04,112.81,onion
104.0,57.68,50.93,26.32,53.98,6.36,71.16,garlic
117.49,59.47,66.69,15.68,63.83,6.7,40.85,garlic
91.1,48.45,45.49,18.83,61.48,5.52,122.17,garlic
82.3,55.21,68.15,22.5,79.17,7.11,47.93,garlic
130.32,41.69,40.75,28.82,80.17,6.65,103.07,garlic
119.66,56.71,44.61,15.31,61.37,7.1,107.99,carrot
128.24,76.79,43.53,27.67,58.52,6.68,97.64,carrot
97.7,52.41,53.58,20.0,55.88,6.52,52.54,carrot
105.7,76.24,53.98,25.91,78.66,7.13,65.99,carrot
80.25,47.89,64.1,26.4,72.94,5.85,125.01,carrot
104.59,70.18,70.4,21.73,82.35,6.63,109.88,radish
113.72,74.57,65.09,17.26,52.39,6.38,73.31,radish
89.23,42.25,60.29,19.66,65.82,5.61,131.49,radish
75.37,74.57,74.21,24.23,67.75,6.43,100.97,radish
125.43,75.84,57.99,27.15,72.81,6.14,92.32,radish
80.56,42.47,44.14,28.49,62.02,6.93,95.5,turnip
82.08,49.91,57.51,21.59,68.3,5.82,81.01,turnip
89.8,56.35,53.53,23.97,77.62,6.79,47.25,turnip
76.62,67.14,51.37,25.86,72.98,7.31,136.06,turnip
93.34,63.31,45.66,20.25,83.87,6.9,83.12,turnip
111.65,77.52,52.38,20.65,77.71,7.13,113.71,beetroot
128.03,69.55,67.42,22.9,72.61,6.35,79.8,beetroot
95.38,47.21,48.57,29.22,67.02,5.95,55.13,beetroot
75.4,73.78,44.05,26.56,79.23,7.27,44.15,beetroot
93.57,70.65,45.24,20.65,55.68,7.16,124.82,beetroot
126.63,46.62,57.51,21.16,73.67,5.98,88.86,cabbage
89.94,69.94,57.96,23.01,60.83,7.12,91.59,cabbage
128.46,54.71,77.89,29.77,66.16,6.06,82.01,cabbage
106.92,78.65,72.68,27.02,54.84,6.0,110.53,cabbage
131.19,62.18,44.1,27.69,79.79,6.07,123.94,cabbage
89.1,76.21,45.89,21.56,83.12,5.94,89.62,cauliflower
94.47,41.07,42.13,22.53,58.25,7.49,81.24,cauliflower
71.97,77.23,73.57,24.75,77.7,5.78,71.56,cauliflower
128.08,67.84,45.55,25.58,65.7,5.51,48.71,cauliflower
87.91,73.4,61.95,25.91,68.47,5.72,71.69,cauliflower
91.08,41.91,56.79,26.91,66.0,5.72,139.57,broccoli
111.77,40.66,60.62,18.63,55.03,6.36,107.63,broccoli
86.84,56.66,66.57,16.28,84.11,5.64,97.87,broccoli
105.51,79.53,62.17,20.86,66.45,6.77,147.91,broccoli
87.76,40.65,71.54,20.17,75.65,6.76,124.87,broccoli
121.46,53.3,41.77,23.19,78.47,5.85,125.71,lettuce
102.52,67.82,65.27,27.17,52.21,7.05,90.34,lettuce
90.54,41.75,47.98,15.63,82.67,6.53,148.8,lettuce
108.01,50.13,70.13,17.87,62.49,7.06,135.24,lettuce
93.23,44.98,54.72,28.34,76.02,7.29,82.53,lettuce
138.16,59.85,59.9,28.86,68.17,7.1,119.98,spinach
75.52,64.1,72.89,23.18,61.24,5.66,112.7,spinach
91.45,64.1,57.04,25.35,62.3,5.58,135.7,spinach
94.68,79.93,50.98,29.7,83.18,5.65,110.13,spinach
95.43,72.04,67.18,29.29,55.0,6.72,125.94,spinach
72.44,42.69,71.14,20.49,63.4,6.63,106.56,amaranth
117.53,77.95,54.88,26.45,70.09,6.56,83.78,amaranth
115.47,49.98,44.54,26.04,67.47,6.27,101.78,amaranth
88.32,50.41,57.85,29.95,60.0,7.33,94.03,amaranth
78.58,74.11,58.08,28.48,65.58,5.68,115.01,amaranth
129.19,52.78,53.9,15.97,68.98,7.28,133.65,fenugreek
119.83,77.09,65.51,26.91,67.81,5.74,62.11,fenugreek
79.72,71.61,41.05,23.31,62.91,7.11,100.68,fenugreek
112.84,43.45,52.37,29.99,75.16,6.55,124.61,fenugreek
127.63,42.95,78.9,24.64,65.75,6.86,77.9,fenugreek
131.46,71.21,65.59,17.73,83.82,6.37,140.18,okra
73.88,44.97,46.12,17.47,61.29,6.92,78.06,okra
135.86,75.8,73.84,18.76,72.23,6.6,53.77,okra
91.2,61.34,60.1,17.53,82.96,5.81,112.46,okra
120.44,64.21,73.7,23.45,78.88,5.56,45.0,okra
114.9,63.07,66.05,26.5,64.58,6.78,94.78,brinjal
113.9,51.59,78.27,22.24,78.16,6.87,72.72,brinjal
75.11,42.4,57.58,22.26,57.14,6.71,74.38,brinjal
120.29,69.37,74.43,29.63,54.58,6.24,101.78,brinjal
92.34,58.66,50.7,18.72,53.39,6.08,82.26,brinjal
113.08,49.93,74.61,17.4,61.46,6.66,74.4,capsicum
123.42,59.93,60.59,22.48,60.8,5.55,143.98,capsicum
105.38,78.67,48.61,20.29,51.77,6.49,137.06,capsicum
115.8,58.82,61.47,27.71,65.08,7.26,120.03,capsicum
123.47,54.64,56.02,23.55,56.81,6.61,48.09,capsicum
105.3,70.58,51.19,29.84,73.81,5.74,147.26,chilli
97.57,71.8,53.56,29.08,76.42,5.9,96.0,chilli
105.01,41.81,45.48,20.0,66.58,6.41,106.69,chilli
106.09,53.12,64.52,17.44,84.67,6.98,72.92,chilli
93.55,73.13,61.29,25.63,60.49,7.13,80.52,chilli
117.17,79.2,63.35,26.95,75.39,6.88,42.93,pea
103.22,78.68,71.32,26.64,70.22,6.94,104.19,pea
81.94,65.16,64.79,27.62,55.17,6.86,43.47,pea
136.37,44.4,40.76,19.71,55.3,6.88,85.14,pea
124.25,76.82,74.91,26.04,52.18,5.78,62.81,pea
92.75,66.49,61.02,19.71,56.06,7.32,77.66,pumpkin
94.8,70.88,68.84,24.65,74.27,6.72,61.15,pumpkin
87.26,62.32,48.99,29.59,60.42,6.08,62.8,pumpkin
119.35,52.68,53.95,29.01,77.84,6.05,53.41,pumpkin
117.36,55.19,79.21,27.28,83.41,7.11,71.95,pumpkin
90.13,68.57,53.85,21.64,58.98,6.46,62.23,bottle_gourd
107.7,77.32,67.85,17.06,71.55,6.67,66.67,bottle_gourd
116.89,61.24,65.52,15.79,64.47,6.93,51.06,bottle_gourd
123.95,40.21,62.01,28.94,64.24,7.37,136.62,bottle_gourd
103.42,47.98,78.56,19.82,72.61,7.32,49.84,bottle_gourd
110.19,61.41,68.92,29.05,81.96,5.85,137.05,ridge_gourd
82.31,76.79,79.89,20.95,67.34,7.37,145.83,ridge_gourd
134.82,75.07,40.37,23.52,53.76,7.47,71.3,ridge_gourd
139.24,61.73,59.76,29.08,79.79,6.44,61.21,ridge_gourd
77.89,46.5,58.36,18.86,56.52,6.97,126.98,ridge_gourd
109.74,70.29,47.02,27.84,81.4,7.15,96.68,bitter_gourd
76.07,66.77,47.39,17.11,61.33,6.0,68.69,bitter_gourd
86.49,70.15,78.16,19.53,75.3,5.52,111.91,bitter_gourd
118.49,42.48,44.73,19.6,64.19,6.51,138.46,bitter_gourd
119.25,52.44,44.7,28.74,60.33,6.73,64.1,bitter_gourd
79.35,46.13,69.91,24.09,64.55,6.6,91.79,snake_gourd
107.63,66.56,48.74,18.71,76.42,7.25,49.01,snake_gourd
101.27,68.15,43.12,23.46,52.16,6.6,95.6,snake_gourd
110.09,45.99,53.12,22.81,54.07,5.91,104.15,snake_gourd
76.37,60.42,72.35,21.8,67.96,6.41,46.35,snake_gourd
102.37,72.28,68.93,20.94,78.58,6.99,103.61,ash_gourd
73.17,53.78,42.55,29.91,82.71,5.64,142.72,ash_gourd
72.22,56.35,70.76,26.49,84.24,6.79,86.24,ash_gourd
139.5,55.3,74.78,28.6,63.15,6.87,112.8,ash_gourd
107.75,66.14,53.91,17.68,68.8,6.56,120.06,ash_gourd
85.59,40.14,40.91,19.48,73.57,6.59,98.51,cucumber
127.64,49.9,53.85,19.13,82.81,6.95,52.41,cucumber
126.66,56.77,70.64,28.26,50.55,5.91,51.1,cucumber
72.35,63.91,68.13,15.73,75.92,6.3,65.78,cucumber
85.21,74.55,42.26,22.56,60.12,7.13,120.47,cucumber
92.32,63.92,66.9,19.81,60.56,5.79,112.62,zucchini
85.47,52.02,42.44,29.23,80.79,7.32,108.86,zucchini
99.9,59.82,78.89,29.12,73.5,7.07,75.06,zucchini
99.14,45.97,55.06,26.32,66.57,7.2,73.08,zucchini
119.53,72.23,76.59,23.44,83.87,6.61,54.75,zucchini
87.0,48.13,65.87,28.83,79.65,5.68,119.7,squash
83.33,50.74,66.95,24.04,80.58,5.88,123.79,squash
120.7,62.35,59.18,28.04,61.65,7.41,41.69,squash
135.6,78.48,44.69,29.99,66.76,5.99,106.48,squash
84.32,76.61,62.08,26.63,63.32,6.57,79.52,squash
88.31,60.51,59.89,16.48,84.35,6.44,132.37,sweetcorn
134.0,54.83,56.56,23.44,57.74,5.79,68.69,sweetcorn
135.43,63.17,56.7,17.29,61.55,6.26,131.67,sweetcorn
104.95,66.18,67.39,18.86,78.76,7.43,110.59,sweetcorn
104.34,46.73,71.8,17.54,75.21,6.48,140.86,sweetcorn
92.53,65.67,42.35,16.54,79.63,7.36,186.96,banana
105.86,56.5,73.7,19.7,74.75,5.02,156.09,banana
82.39,64.71,66.67,25.86,66.91,6.22,61.26,banana
93.1,40.47,61.18,20.4,84.21,5.04,214.5,banana
100.44,72.25,76.39,17.71,53.37,5.37,96.47,banana
91.59,72.61,50.69,22.35,63.06,6.02,167.35,mango
119.41,49.03,67.36,29.57,72.88,7.15,204.32,mango
65.61,55.17,62.11,16.9,50.33,5.43,154.97,mango
86.03,71.38,62.63,29.73,53.34,6.32,68.08,mango
72.69,74.72,75.5,23.61,51.63,5.19,235.86,mango
113.96,62.54,41.32,30.86,61.01,7.4,171.54,papaya
105.14,68.51,55.93,17.23,55.69,5.6,218.58,papaya
83.35,75.86,53.27,28.09,54.9,7.47,197.59,papaya
90.05,78.97,42.15,22.99,79.35,5.85,206.11,papaya
117.29,55.87,70.94,16.47,59.57,7.48,153.21,papaya
81.35,77.65,57.27,26.88,73.12,5.21,177.54,pineapple
107.88,68.52,43.28,18.47,74.91,6.58,200.53,pineapple
79.0,44.26,40.21,20.93,62.6,5.67,85.18,pineapple
71.24,57.95,62.19,22.53,50.92,5.88,77.68,pineapple
95.88,52.98,55.41,20.67,63.57,5.21,231.22,pineapple
114.31,79.13,62.88,18.71,63.33,5.35,117.21,guava
89.59,42.53,57.39,22.74,66.95,5.19,107.82,guava
74.8,65.0,63.75,19.13,53.74,5.76,240.28,guava
79.93,64.81,72.16,21.27,61.72,7.04,223.31,guava
118.45,45.44,52.83,31.16,57.03,5.79,243.27,guava
118.12,51.66,67.8,23.86,70.16,5.61,131.45,apple
108.99,55.72,44.56,25.02,70.73,6.36,189.53,apple
93.01,78.12,58.46,27.33,65.35,5.73,191.64,apple
109.14,71.83,56.37,23.99,72.17,5.61,185.15,apple
102.91,71.56,42.96,31.85,66.77,6.0,156.26,apple
115.22,67.67,61.75,28.65,62.58,7.24,162.01,pear
98.29,43.4,70.76,26.52,62.43,6.62,68.42,pear
119.02,67.1,55.98,28.04,83.8,6.08,62.0,pear
75.52,60.43,60.75,25.29,70.13,6.11,134.32,pear
106.34,63.54,60.02,21.52,50.86,5.26,139.04,pear
117.7,44.64,77.63,18.27,60.92,6.14,99.3,peach
88.98,59.05,57.53,27.15,61.16,5.75,213.94,peach
66.91,73.97,65.92,26.83,55.75,7.46,106.34,peach
70.47,46.41,62.39,31.34,58.11,6.01,95.05,peach
98.43,57.29,41.17,25.83,56.91,6.48,133.88,peach
102.28,48.23,70.09,28.94,52.19,5.25,225.68,plum
71.22,53.04,58.3,20.2,80.19,6.32,181.43,plum
95.82,64.45,63.48,21.57,79.59,6.54,214.61,plum
102.36,51.9,64.58,17.36,54.69,5.29,118.02,plum
70.98,67.74,60.43,22.69,54.83,5.96,95.29,plum
98.13,67.74,65.81,32.0,69.42,6.22,86.66,apricot
78.87,58.04,42.14,21.74,50.34,5.34,214.89,apricot
117.83,60.22,59.8,26.96,64.55,7.1,152.85,apricot
64.96,41.23,70.44,20.67,59.62,6.34,91.96,apricot
87.44,69.7,70.64,24.8,53.96,5.29,207.27,apricot
109.4,54.67,72.9,16.67,75.16,6.37,248.06,cherry
66.14,73.2,70.05,20.76,84.98,6.12,126.23,cherry
109.0,57.56,79.76,28.41,58.29,7.03,171.71,cherry
81.04,68.43,65.31,18.66,54.87,5.52,99.32,cherry
63.56,54.03,51.24,24.62,61.33,6.76,114.97,cherry
76.04,74.32,79.42,26.87,53.33,7.41,209.28,strawberry
115.13,79.7,74.68,18.03,80.31,5.62,195.17,strawberry
109.71,70.46,67.05,23.83,70.21,5.67,138.7,strawberry
87.12,65.35,75.21,17.49,68.05,5.7,237.9,strawberry
82.14,78.01,53.09,16.04,77.09,6.83,198.88,strawberry
87.51,66.57,54.33,17.01,68.7,5.54,141.63,blueberry
72.71,50.74,73.13,21.4,70.23,6.42,152.21,blueberry
80.62,67.3,41.94,17.59,77.44,6.15,83.61,blueberry
111.46,57.65,40.03,31.33,57.08,6.72,85.06,blueberry
99.0,46.36,77.31,20.38,72.91,5.63,130.65,blueberry
114.23,46.62,55.85,20.89,74.48,5.59,184.54,blackberry
102.22,40.04,59.07,18.12,57.92,6.7,61.76,blackberry
101.74,72.68,79.53,22.76,54.63,5.18,132.78,blackberry
103.85,44.1,52.53,30.1,54.8,6.93,203.1,blackberry
67.99,79.72,45.71,24.49,50.3,6.63,143.62,blackberry
103.35,65.12,46.05,22.59,74.03,7.15,76.47,grape
66.03,70.1,63.58,22.14,83.71,5.79,86.57,grape
76.62,43.37,62.14,25.6,71.27,6.95,191.19,grape
110.87,66.34,52.07,24.28,67.83,6.87,116.15,grape
63.27,75.92,78.19,23.92,53.95,6.25,172.85,grape
91.7,79.11,79.48,30.94,54.62,7.15,167.99,pomegranate
81.92,67.32,70.51,31.27,76.96,5.04,72.83,pomegranate
75.73,41.59,42.42,28.63,67.73,6.57,155.2,pomegranate
84.93,68.07,43.3,24.59,71.56,5.69,118.88,pomegranate
90.68,48.13,72.32,24.58,63.68,6.59,218.56,pomegranate
100.86,42.64,67.95,27.68,79.63,5.14,76.38,orange
86.07,58.13,64.35,20.95,75.96,6.85,82.69,orange
102.47,68.06,46.55,31.25,68.31,6.96,196.95,orange
70.02,45.08,71.24,20.3,81.02,6.93,65.58,orange
108.43,50.88,42.55,27.4,70.18,5.19,146.49,orange
81.61,59.98,62.68,21.88,58.93,5.26,169.04,mandarin
103.37,49.14,60.35,16.7,80.2,5.61,149.64,mandarin
82.98,46.0,77.25,29.72,69.35,7.28,200.73,mandarin
85.16,52.87,56.65,27.52,59.49,5.19,130.83,mandarin
90.12,76.08,47.17,28.87,84.35,7.39,73.1,mandarin
87.91,51.29,73.79,21.24,69.36,5.02,98.13,lemon
93.83,52.16,64.91,23.42,70.71,6.23,206.8,lemon
71.73,76.02,70.42,19.92,50.22,6.03,104.27,lemon
80.79,73.58,75.09,31.22,50.05,6.64,221.31,lemon
103.63,44.16,61.19,19.81,67.22,5.15,249.42,lemon
102.7,43.72,76.85,30.36,68.19,6.75,130.77,lime
118.47,43.4,43.82,18.14,78.7,5.19,167.89,lime
86.1,78.57,49.47,20.18,61.03,7.0,193.14,lime
104.12,52.72,50.88,17.19,57.09,6.95,171.09,lime
69.32,46.57,58.64,22.5,68.76,7.41,99.45,lime
78.5,50.6,44.8,18.52,74.01,7.07,192.41,coconut
62.42,73.44,53.11,17.46,58.69,5.89,157.56,coconut
100.63,50.41,79.63,16.5,64.15,6.13,202.13,coconut
74.99,58.48,72.16,18.24,50.42,7.08,246.69,coconut
67.84,72.95,54.89,26.08,72.56,6.46,109.18,coconut
108.76,40.87,42.58,30.44,65.52,5.32,231.96,arecanut
109.76,53.26,41.71,23.38,55.88,6.43,216.12,arecanut
83.7,41.18,67.33,18.76,57.52,5.47,113.17,arecanut
113.01,41.39,64.77,19.93,60.33,6.03,164.63,arecanut
63.66,51.19,45.49,19.19,80.96,6.31,179.84,arecanut
108.13,71.79,79.58,28.51,62.57,6.36,152.09,cashew
114.76,60.1,55.54,18.88,61.16,5.55,230.2,cashew
106.71,42.34,79.66,24.47,76.84,7.5,245.06,cashew
66.01,66.27,50.66,29.06,82.1,5.14,249.31,cashew
73.16,73.86,71.9,21.68,79.37,7.11,93.46,cashew
95.55,72.25,67.91,30.62,50.99,6.75,240.04,almond
93.82,62.52,47.53,31.81,80.86,6.23,118.72,almond
89.43,43.61,49.3,19.5,68.43,5.0,234.4,almond
72.09,45.22,68.68,30.7,79.55,5.81,64.16,almond
95.2,76.69,70.97,29.54,80.12,7.4,130.98,almond
116.52,55.82,44.04,20.83,54.78,5.39,240.25,walnut
107.51,78.43,65.97,18.79,83.91,6.73,236.48,walnut
107.22,48.93,63.56,18.81,60.74,6.72,84.2,walnut
103.73,77.95,77.95,22.27,84.8,7.41,66.15,walnut
96.14,76.84,78.7,19.53,69.79,7.34,86.72,walnut
104.72,49.52,79.3,18.69,80.99,5.22,194.7,pistachio
98.35,75.47,57.87,20.24,58.73,5.17,108.77,pistachio
66.48,40.05,55.44,27.72,83.92,7.21,153.69,pistachio
82.72,61.84,44.06,23.67,80.24,6.63,190.56,pistachio
