N,P,K,temperature,humidity,ph,rainfall,label,season,month,state
128.28,70.62,48.71,28.17,90.86,5.83,240.17,rice,Kharif,9,AP
110.27,33.8,73.03,30.67,73.84,6.58,300.87,rice,Kharif,8,PB
37.55,42.0,56.22,28.6,83.49,5.97,199.32,rice,Kharif,10,AP
84.75,51.39,80.04,26.46,79.52,6.48,145.19,rice,Kharif,7,AP
115.74,31.84,83.4,24.28,74.28,5.2,231.73,rice,Kharif,9,TN
84.24,53.87,29.06,24.26,88.0,6.76,205.1,rice,Kharif,10,WB
62.35,31.29,70.6,21.9,66.48,6.84,181.22,rice,Kharif,9,AP
114.67,54.86,60.56,23.44,76.28,6.49,159.51,rice,Kharif,9,AP
73.88,58.49,56.05,26.0,89.16,6.57,170.45,rice,Kharif,8,PB
60.43,58.32,56.2,26.18,74.5,6.9,292.97,rice,Kharif,10,WB
43.73,22.22,76.6,32.42,80.01,6.5,242.5,rice,Kharif,9,TN
51.15,55.21,47.58,26.6,72.5,6.07,263.93,rice,Kharif,8,PB
37.55,54.61,70.63,25.4,89.71,5.8,155.65,rice,Kharif,6,WB
113.34,67.72,44.37,29.85,76.47,5.76,300.46,rice,Kharif,9,TN
130.23,39.2,55.3,25.28,85.86,6.7,166.45,rice,Kharif,6,UP
125.41,89.98,80.89,30.08,85.77,6.79,201.99,rice,Kharif,7,AP
109.42,42.64,69.14,32.74,84.62,6.31,150.03,rice,Kharif,8,AP
125.87,85.67,68.75,25.85,69.73,6.36,175.11,rice,Kharif,6,TN
138.41,70.55,28.17,27.68,88.46,6.97,244.66,rice,Kharif,10,UP
61.2,27.66,39.41,26.0,85.52,5.95,151.62,rice,Kharif,10,PB
90.18,62.65,62.28,24.18,92.97,5.86,161.44,rice,Kharif,8,PB
59.86,34.7,76.67,28.96,71.0,5.6,236.09,rice,Kharif,7,UP
130.18,80.09,71.94,35.13,88.63,6.53,277.02,rice,Kharif,9,PB
77.6,66.09,31.38,32.77,88.06,5.99,165.91,rice,Kharif,6,UP
51.77,71.49,58.86,36.13,70.47,6.48,282.8,rice,Kharif,10,WB
76.42,61.36,22.55,30.28,91.53,7.17,245.44,rice,Kharif,6,TN
137.68,50.81,48.78,22.21,87.49,6.67,182.12,rice,Kharif,10,AP
78.42,62.02,48.2,25.22,92.45,6.05,289.17,rice,Kharif,10,AP
58.41,81.59,77.91,31.89,90.44,6.51,261.94,rice,Kharif,6,TN
58.67,54.31,23.63,28.53,79.14,6.6,206.79,rice,Kharif,8,UP
120.54,74.58,16.98,30.5,70.26,5.82,298.27,rice,Kharif,8,AP
73.62,51.99,31.1,27.49,64.35,5.53,212.29,rice,Kharif,6,WB
106.65,25.79,88.71,24.25,76.93,6.83,282.62,rice,Kharif,9,WB
80.07,62.93,59.94,33.2,75.94,5.57,177.73,rice,Kharif,7,WB
143.4,87.21,57.18,25.19,83.95,5.51,170.34,rice,Kharif,8,TN
74.07,53.1,80.97,21.66,89.08,6.4,221.12,rice,Kharif,10,UP
96.89,71.22,35.07,32.12,86.61,5.92,157.15,rice,Kharif,10,PB
81.46,58.67,23.67,26.68,82.95,5.94,245.92,rice,Kharif,9,TN
71.04,61.91,79.86,24.74,70.48,5.76,262.85,rice,Kharif,6,WB
59.93,23.69,37.93,23.41,76.51,6.91,157.29,rice,Kharif,9,PB
129.05,56.26,50.89,29.27,78.51,5.58,173.64,rice,Kharif,6,TN
131.63,33.63,66.24,33.0,89.21,6.61,213.81,rice,Kharif,10,UP
109.23,47.31,67.23,23.87,82.71,7.3,161.77,rice,Kharif,9,UP
134.3,47.24,43.49,29.14,81.36,6.31,260.82,rice,Kharif,8,UP
92.63,33.88,57.39,26.43,65.86,5.91,273.14,rice,Kharif,6,TN
45.96,46.19,45.35,27.77,78.94,6.41,240.85,rice,Kharif,6,UP
60.93,35.98,46.21,30.97,77.81,6.08,231.87,rice,Kharif,8,WB
65.13,56.46,66.74,23.48,80.6,5.91,306.5,rice,Kharif,10,TN
130.34,30.99,31.38,28.87,77.96,6.7,297.48,rice,Kharif,7,PB
104.98,28.5,69.79,30.31,75.05,5.81,275.13,rice,Kharif,10,AP
81.25,91.42,37.69,30.47,74.5,6.03,247.49,rice,Kharif,8,AP
67.82,45.28,27.17,31.92,63.17,6.45,192.01,rice,Kharif,8,WB
122.8,53.24,17.14,29.14,86.23,5.62,265.86,rice,Kharif,6,WB
106.86,78.8,85.28,26.89,72.74,5.77,293.6,rice,Kharif,9,PB
124.42,67.4,72.15,20.82,66.12,5.97,228.95,rice,Kharif,10,TN
129.75,59.45,92.29,33.97,68.69,6.85,155.58,rice,Kharif,6,WB
107.73,44.13,92.38,32.42,87.24,5.7,266.18,rice,Kharif,7,AP
82.41,30.46,36.72,21.92,60.0,5.76,297.3,rice,Kharif,8,TN
57.64,63.97,63.83,23.06,65.63,6.59,220.67,rice,Kharif,6,PB
85.72,88.93,76.34,31.48,71.14,6.2,241.13,rice,Kharif,10,WB
111.78,71.67,22.73,25.19,77.58,5.53,194.76,rice,Kharif,9,AP
56.81,54.91,40.29,32.31,64.83,5.78,175.36,rice,Kharif,8,UP
136.57,83.71,39.05,32.06,76.84,6.14,291.75,rice,Kharif,9,WB
47.85,54.47,26.5,33.53,74.86,6.25,163.05,rice,Kharif,10,UP
64.31,36.17,23.1,28.45,88.61,5.83,150.63,rice,Kharif,8,TN
108.78,81.42,68.8,29.78,63.49,7.02,275.38,rice,Kharif,9,TN
61.41,45.17,48.86,28.17,82.77,7.09,180.27,rice,Kharif,8,PB
130.58,82.19,79.13,26.03,84.85,6.2,275.36,rice,Kharif,7,WB
112.17,78.21,47.95,29.42,80.74,6.75,235.15,rice,Kharif,8,TN
110.07,71.59,32.51,25.9,67.39,6.16,253.82,rice,Kharif,8,WB
112.83,58.31,22.46,30.56,64.57,6.76,176.64,rice,Kharif,8,AP
148.04,42.78,57.24,30.53,87.7,6.22,230.87,rice,Kharif,8,AP
45.01,63.71,56.55,28.06,80.08,6.48,266.22,rice,Kharif,7,AP
114.27,69.0,77.6,26.68,76.57,5.84,217.85,rice,Kharif,7,WB
113.18,26.33,43.1,33.13,69.29,6.42,236.69,rice,Kharif,8,PB
60.37,49.87,82.12,32.38,61.04,6.67,227.73,rice,Kharif,8,PB
59.78,62.32,28.46,30.45,78.94,6.89,164.02,rice,Kharif,10,TN
67.7,68.63,42.67,30.56,67.38,6.25,162.07,rice,Kharif,10,AP
45.71,50.49,31.43,32.2,89.43,5.56,259.77,rice,Kharif,10,UP
49.93,31.2,37.67,27.98,86.02,6.18,215.85,rice,Kharif,8,TN
134.28,79.58,63.19,27.74,79.42,6.35,223.82,rice,Kharif,10,PB
54.67,45.16,74.56,28.7,69.94,6.67,282.77,rice,Kharif,6,WB
94.19,27.84,58.78,34.07,72.51,7.04,305.47,rice,Kharif,7,UP
123.96,46.01,82.73,29.65,67.31,6.44,271.97,rice,Kharif,9,UP
59.01,50.5,65.33,21.49,88.35,6.67,235.64,rice,Kharif,8,TN
52.2,23.27,60.54,29.31,88.41,6.91,158.87,rice,Kharif,7,UP
112.39,55.51,47.78,28.07,84.61,5.92,166.84,rice,Kharif,7,TN
85.22,72.96,67.44,28.89,77.39,6.54,216.67,rice,Kharif,9,UP
126.33,41.6,65.9,31.55,79.28,6.08,192.99,rice,Kharif,9,WB
66.73,87.91,68.22,29.19,67.21,5.98,216.84,rice,Kharif,6,AP
127.94,36.71,89.18,31.0,87.55,5.6,312.8,rice,Kharif,6,UP
54.9,33.48,23.01,29.44,75.24,6.44,201.93,rice,Kharif,6,WB
40.22,57.09,90.87,34.59,79.54,5.63,284.72,rice,Kharif,9,AP
102.27,45.68,48.3,30.27,81.3,6.56,274.22,rice,Kharif,10,WB
78.6,51.65,66.63,33.24,76.06,6.49,225.57,rice,Kharif,8,AP
49.53,36.7,86.98,26.32,80.3,5.68,246.42,rice,Kharif,7,UP
83.0,89.53,47.9,25.98,80.24,5.53,186.65,rice,Kharif,6,AP
82.91,46.31,79.99,31.8,77.7,5.52,264.69,rice,Kharif,10,TN
80.36,68.22,32.03,22.89,73.93,7.05,252.62,rice,Kharif,10,AP
92.77,78.58,84.07,22.84,81.68,5.75,238.65,rice,Kharif,9,UP
131.0,74.04,48.84,31.18,72.67,5.93,276.46,rice,Kharif,7,TN
70.62,55.9,41.16,29.17,82.79,6.5,192.06,rice,Kharif,10,TN
53.24,48.57,43.19,29.59,81.42,5.95,182.54,rice,Kharif,8,AP
81.53,86.06,46.43,22.85,66.49,6.26,158.61,rice,Kharif,6,WB
66.61,50.69,28.08,28.02,76.68,6.61,270.33,rice,Kharif,6,WB
66.0,96.99,60.5,27.86,85.39,5.93,212.13,rice,Kharif,9,TN
37.57,57.63,58.5,25.42,87.93,6.92,254.89,rice,Kharif,10,WB
68.85,85.58,78.84,22.67,78.49,6.83,224.92,rice,Kharif,8,AP
77.13,62.63,81.04,34.45,74.74,6.7,276.02,rice,Kharif,10,AP
134.48,81.55,29.13,35.14,74.98,6.12,255.44,rice,Kharif,9,TN
65.22,37.65,89.6,21.15,91.24,6.68,281.81,rice,Kharif,9,TN
97.65,67.1,78.26,29.15,67.54,6.2,161.95,rice,Kharif,6,WB
73.0,18.95,51.23,31.17,79.86,5.74,159.0,rice,Kharif,9,WB
67.88,54.69,35.86,31.83,95.0,6.15,197.18,rice,Kharif,6,UP
109.21,38.5,67.43,32.65,79.79,6.19,223.93,rice,Kharif,7,PB
107.73,19.67,68.11,27.82,64.18,6.11,164.31,rice,Kharif,6,PB
68.89,76.29,79.52,23.98,87.35,6.35,303.87,rice,Kharif,9,WB
35.16,35.92,70.93,30.24,87.84,6.67,296.7,rice,Kharif,9,TN
89.42,48.48,59.3,25.21,75.12,6.18,146.46,rice,Kharif,9,UP
93.6,84.85,40.48,28.76,84.84,5.79,172.41,rice,Kharif,10,WB
68.0,44.83,19.09,19.61,77.32,6.38,283.17,rice,Kharif,6,UP
41.6,58.68,86.26,29.04,84.88,5.82,244.48,rice,Kharif,8,PB
78.45,20.79,42.21,30.07,93.82,6.45,145.25,rice,Kharif,7,PB
49.25,36.18,36.23,27.32,81.7,6.09,162.06,rice,Kharif,8,WB
113.16,57.24,24.0,32.19,82.3,6.28,250.36,rice,Kharif,8,WB
110.96,26.69,30.33,19.66,79.18,6.22,178.56,rice,Kharif,10,UP
82.88,56.54,53.24,20.17,70.53,6.57,167.75,rice,Kharif,8,WB
47.44,65.85,88.26,22.61,81.93,7.03,305.48,rice,Kharif,7,AP
62.15,54.55,77.04,29.81,63.95,5.42,206.21,rice,Kharif,7,WB
76.15,15.63,54.9,30.84,68.26,6.05,221.6,rice,Kharif,10,PB
62.14,59.54,40.33,29.93,73.07,5.81,293.58,rice,Kharif,8,PB
90.72,58.98,54.36,26.66,73.29,5.76,278.61,rice,Kharif,6,UP
120.37,36.24,27.0,24.75,85.31,6.4,223.34,rice,Kharif,6,WB
58.61,71.08,54.08,24.14,72.54,5.41,181.35,rice,Kharif,9,PB
128.95,52.72,39.95,25.33,87.08,7.07,187.03,rice,Kharif,9,AP
39.9,61.29,74.5,25.38,84.62,6.18,269.74,rice,Kharif,8,TN
134.08,80.59,70.91,32.54,74.69,6.77,243.19,rice,Kharif,7,WB
61.6,88.2,82.23,30.31,81.04,6.63,291.46,rice,Kharif,9,AP
65.77,72.14,79.3,29.84,87.6,5.2,236.69,rice,Kharif,9,AP
49.92,83.66,36.57,28.93,72.46,6.68,240.88,rice,Kharif,6,UP
69.79,61.35,34.85,29.85,78.82,5.57,262.08,rice,Kharif,9,UP
132.97,62.81,64.47,27.72,65.99,6.14,277.78,rice,Kharif,6,UP
107.39,45.9,39.24,27.48,71.81,5.66,224.22,rice,Kharif,6,TN
53.51,90.65,32.94,24.59,81.94,6.13,245.13,rice,Kharif,6,PB
100.14,71.37,67.3,28.99,64.38,6.49,177.77,rice,Kharif,8,UP
129.67,25.38,28.97,26.9,67.36,6.61,302.86,rice,Kharif,6,AP
70.65,66.85,22.94,23.22,84.44,6.59,144.9,rice,Kharif,6,TN
106.27,63.3,74.19,24.08,89.25,7.1,268.91,rice,Kharif,8,WB
128.98,59.99,64.95,23.49,76.29,6.72,267.16,rice,Kharif,9,PB
80.8,65.47,89.51,22.81,86.37,5.86,234.08,rice,Kharif,6,AP
60.93,33.45,36.07,22.42,67.8,6.28,274.0,rice,Kharif,6,UP
85.77,52.04,48.52,26.61,88.91,6.26,182.16,rice,Kharif,6,TN
125.95,69.28,74.02,34.0,80.95,6.08,238.63,rice,Kharif,8,TN
55.12,21.84,66.41,31.09,78.19,5.44,148.36,rice,Kharif,6,WB
48.77,41.03,26.99,27.66,90.17,6.25,238.88,rice,Kharif,10,PB
88.33,45.68,83.1,29.0,76.89,5.42,239.52,rice,Kharif,6,WB
91.66,55.21,26.25,32.73,72.0,6.29,237.99,rice,Kharif,6,PB
123.88,58.05,42.43,31.24,75.46,5.96,283.21,rice,Kharif,9,WB
46.88,57.88,28.29,25.93,81.53,6.03,297.73,rice,Kharif,9,AP
75.91,60.94,71.93,32.81,86.91,5.6,190.16,rice,Kharif,9,PB
94.92,31.01,69.3,30.36,84.49,6.09,189.96,rice,Kharif,7,AP
125.76,56.48,60.48,23.0,79.4,6.54,176.92,rice,Kharif,9,AP
47.85,64.36,51.25,32.94,83.15,6.46,181.84,rice,Kharif,9,UP
62.66,71.66,30.56,31.89,70.24,6.48,268.91,rice,Kharif,9,PB
98.19,24.07,68.26,26.9,82.84,6.98,204.92,rice,Kharif,9,TN
131.88,87.44,27.84,23.49,71.68,5.83,166.71,rice,Kharif,9,UP
47.04,79.18,63.49,28.8,85.31,6.63,253.36,rice,Kharif,9,UP
68.48,63.98,88.43,36.47,73.35,6.16,193.64,rice,Kharif,7,AP
83.17,82.95,29.29,30.35,87.33,6.66,238.5,rice,Kharif,6,PB
89.75,68.74,73.71,28.8,62.17,6.61,224.91,rice,Kharif,7,AP
134.82,61.6,57.71,24.92,68.17,5.67,205.46,rice,Kharif,7,WB
74.61,75.7,88.89,21.66,88.46,6.5,289.34,rice,Kharif,10,WB
60.19,35.81,55.23,26.8,65.58,5.51,161.67,rice,Kharif,10,TN
61.35,30.41,42.36,26.05,76.1,5.56,195.1,rice,Kharif,8,PB
55.13,60.33,51.22,25.25,78.95,5.89,216.82,rice,Kharif,6,AP
91.96,71.3,54.28,29.92,89.53,6.78,163.83,rice,Kharif,9,AP
116.48,44.32,78.69,30.14,78.08,6.62,262.78,rice,Kharif,9,AP
58.44,55.83,48.26,29.96,69.67,6.32,178.47,rice,Kharif,8,UP
56.53,44.09,78.26,25.12,69.22,6.42,273.69,rice,Kharif,9,WB
64.26,33.69,16.47,32.93,87.3,6.44,255.98,rice,Kharif,8,PB
127.18,50.66,59.58,31.31,70.01,6.26,193.19,rice,Kharif,6,TN
107.51,82.87,47.92,28.06,67.0,5.37,224.53,rice,Kharif,9,UP
75.24,78.84,56.69,31.5,70.14,6.68,198.5,rice,Kharif,7,TN
121.0,30.56,38.29,24.11,90.03,6.61,280.35,rice,Kharif,8,AP
131.43,18.3,68.98,28.72,79.39,7.18,192.12,rice,Kharif,9,UP
128.07,34.19,45.8,34.8,61.6,5.64,195.18,rice,Kharif,6,AP
113.26,68.98,69.19,35.15,84.73,6.86,147.28,rice,Kharif,7,AP
68.31,40.19,32.61,23.67,78.09,6.42,155.89,rice,Kharif,8,WB
50.47,59.32,89.53,27.57,84.19,6.16,280.13,rice,Kharif,10,TN
41.83,75.14,78.19,26.48,74.19,6.31,167.15,rice,Kharif,10,AP
77.01,25.47,15.96,32.62,75.03,5.82,255.35,rice,Kharif,10,PB
81.25,45.12,73.62,24.31,71.68,5.72,212.08,rice,Kharif,7,AP
59.15,75.33,25.01,34.82,79.15,6.31,159.37,rice,Kharif,9,TN
110.39,22.27,38.31,25.23,81.53,6.99,233.65,rice,Kharif,9,TN
72.43,22.6,42.86,27.85,80.9,6.47,155.22,rice,Kharif,9,PB
58.59,80.53,65.84,27.15,81.95,6.48,313.62,rice,Kharif,6,PB
84.6,63.34,72.13,23.62,86.75,6.3,288.89,rice,Kharif,8,WB
98.95,38.82,66.65,24.46,70.02,5.81,151.69,rice,Kharif,6,TN
104.27,69.97,19.08,32.46,68.68,6.37,171.31,rice,Kharif,7,WB
110.06,84.23,24.02,26.35,65.72,5.5,250.09,rice,Kharif,6,PB
76.69,15.08,68.3,22.21,86.01,6.15,145.83,rice,Kharif,8,PB
64.2,85.92,49.41,28.33,60.31,6.02,281.63,rice,Kharif,9,UP
41.25,59.79,52.51,25.44,76.23,6.2,167.26,rice,Kharif,7,AP
78.73,44.04,70.2,22.25,64.93,6.21,249.88,rice,Kharif,7,WB
56.91,63.95,84.48,28.96,88.29,6.27,191.74,rice,Kharif,10,UP
132.33,41.1,57.38,30.87,79.69,6.2,206.18,rice,Kharif,7,UP
61.68,85.32,21.31,26.14,94.05,6.66,294.85,rice,Kharif,6,UP
78.87,42.15,79.17,25.43,81.45,5.43,241.71,rice,Kharif,7,PB
89.2,15.84,26.66,26.87,61.93,6.48,223.34,rice,Kharif,7,UP
91.05,53.9,19.87,24.72,85.73,6.06,288.7,rice,Kharif,8,AP
108.4,72.32,93.4,25.49,65.17,5.73,194.41,rice,Kharif,9,UP
102.7,60.11,51.67,22.76,66.23,6.8,274.78,rice,Kharif,7,TN
37.5,49.21,83.96,32.11,83.65,6.21,160.64,rice,Kharif,7,UP
68.68,30.82,28.29,32.39,79.72,6.53,273.12,rice,Kharif,6,PB
101.24,36.03,60.49,29.24,83.86,7.05,270.78,rice,Kharif,6,PB
120.73,34.08,34.69,37.94,69.67,5.96,257.54,rice,Kharif,10,TN
65.13,47.14,56.24,31.62,84.8,6.48,277.5,rice,Kharif,6,TN
81.98,79.09,28.59,25.24,60.0,6.41,257.5,rice,Kharif,7,TN
132.04,41.84,15.91,23.72,73.58,5.6,268.25,rice,Kharif,6,PB
117.05,22.13,67.98,36.46,78.72,6.86,161.54,rice,Kharif,9,AP
111.64,39.04,21.28,27.96,80.12,6.98,237.94,rice,Kharif,8,UP
85.64,42.01,29.81,22.72,79.1,6.48,155.03,rice,Kharif,8,TN
138.58,30.45,68.6,35.65,69.81,6.54,176.51,rice,Kharif,10,UP
120.09,82.26,15.22,37.07,67.55,6.6,189.71,rice,Kharif,10,UP
65.67,51.99,30.31,33.33,88.96,6.48,216.43,rice,Kharif,10,WB
88.42,89.27,50.16,30.06,68.73,6.49,223.58,rice,Kharif,8,UP
57.4,38.52,45.19,22.69,71.43,6.61,241.47,rice,Kharif,9,WB
138.32,61.44,84.75,23.86,62.54,5.59,180.98,rice,Kharif,7,PB
54.91,45.54,45.82,22.46,64.91,6.3,241.12,rice,Kharif,9,UP
52.95,91.13,54.94,35.44,70.19,5.83,190.57,rice,Kharif,7,AP
121.32,40.61,43.57,29.89,84.21,5.86,274.63,rice,Kharif,6,UP
127.43,24.2,70.44,22.58,72.39,6.27,224.09,rice,Kharif,8,AP
82.54,57.67,53.02,30.74,76.95,5.73,219.16,rice,Kharif,8,PB
116.71,69.24,36.29,30.12,84.61,6.4,241.78,rice,Kharif,10,TN
41.24,54.28,33.5,31.9,63.33,5.94,303.17,rice,Kharif,8,PB
98.4,84.33,41.53,21.64,86.97,6.53,277.88,rice,Kharif,6,PB
55.91,37.57,34.98,28.17,76.95,6.39,238.35,rice,Kharif,9,TN
40.85,69.45,76.34,33.51,89.76,5.57,179.56,rice,Kharif,6,AP
43.1,44.37,82.82,26.5,68.14,5.55,289.69,rice,Kharif,9,TN
84.87,38.9,87.88,31.02,89.51,5.79,272.59,rice,Kharif,10,WB
68.79,49.14,38.69,28.45,79.23,6.57,192.28,rice,Kharif,9,WB
115.01,79.87,77.77,23.7,91.88,5.95,197.11,rice,Kharif,9,PB
129.46,80.03,63.09,24.15,88.9,6.85,245.1,rice,Kharif,9,PB
124.32,78.59,31.62,33.3,75.76,6.72,268.31,rice,Kharif,10,UP
55.05,24.47,76.37,29.09,83.68,6.57,177.89,rice,Kharif,8,PB
81.2,83.64,79.88,32.13,66.97,6.57,251.38,rice,Kharif,8,UP
104.07,40.64,37.61,32.09,68.51,6.72,187.64,rice,Kharif,8,TN
85.14,79.35,47.62,31.22,72.66,6.9,192.6,rice,Kharif,7,TN
102.45,52.5,51.45,24.65,83.32,6.2,184.65,rice,Kharif,7,WB
62.71,18.86,83.45,34.08,83.66,5.54,155.72,rice,Kharif,7,WB
94.68,75.32,25.5,21.42,83.95,5.87,178.5,rice,Kharif,6,WB
127.39,74.12,22.14,31.27,72.25,6.88,217.23,rice,Kharif,8,PB
127.9,12.96,43.91,22.39,67.15,5.2,177.21,rice,Kharif,9,UP
48.76,87.89,19.76,26.35,73.91,5.89,166.6,rice,Kharif,10,TN
135.97,36.63,81.24,22.7,83.3,5.24,210.76,rice,Kharif,10,TN
98.41,36.39,69.2,22.38,72.1,6.11,264.43,rice,Kharif,7,AP
66.93,85.3,88.1,26.51,66.63,5.63,220.55,rice,Kharif,6,TN
96.52,29.01,23.21,36.18,88.83,6.61,239.38,rice,Kharif,7,WB
59.14,38.13,34.31,25.67,76.77,6.3,259.35,rice,Kharif,7,PB
51.7,79.55,40.98,28.82,64.03,6.48,186.8,rice,Kharif,9,PB
70.54,85.38,36.3,32.47,70.62,6.39,217.23,rice,Kharif,8,AP
114.78,37.04,90.36,30.34,79.51,6.98,160.41,rice,Kharif,7,TN
83.98,51.03,35.08,33.23,82.23,6.92,278.88,rice,Kharif,10,PB
116.8,84.32,41.98,23.4,75.94,6.83,211.01,rice,Kharif,8,AP
110.21,57.58,34.83,37.36,83.55,6.87,197.95,rice,Kharif,6,AP
53.25,39.28,22.44,21.43,93.99,6.0,230.89,rice,Kharif,8,UP
109.17,22.4,70.87,22.93,75.94,6.83,243.88,rice,Kharif,6,UP
61.33,42.62,33.64,32.51,80.15,6.44,182.81,rice,Kharif,7,AP
93.61,46.18,30.15,30.84,64.73,6.02,230.74,rice,Kharif,7,TN
111.52,94.59,63.07,30.23,65.56,6.52,238.29,rice,Kharif,8,TN
51.03,42.28,66.22,24.57,70.96,6.67,205.66,rice,Kharif,6,PB
84.7,25.47,84.5,27.82,85.08,5.86,223.71,rice,Kharif,7,PB
48.55,20.63,27.17,32.07,67.69,6.0,201.45,rice,Kharif,8,WB
98.49,47.33,36.77,24.88,71.98,6.08,281.2,rice,Kharif,6,WB
67.63,35.8,86.22,24.13,75.9,7.01,269.7,rice,Kharif,9,WB
50.58,23.96,88.56,25.39,78.58,5.9,255.76,rice,Kharif,7,TN
134.13,58.89,34.46,26.88,67.93,6.56,262.61,rice,Kharif,10,TN
100.21,21.38,40.8,30.3,67.61,6.99,180.78,rice,Kharif,10,AP
119.14,77.57,33.17,28.83,88.5,6.33,264.12,rice,Kharif,7,AP
111.63,80.7,40.4,31.63,86.63,5.56,201.32,rice,Kharif,8,PB
110.15,46.59,53.12,27.1,80.44,5.72,157.4,rice,Kharif,8,PB
99.01,71.42,29.21,29.92,82.08,6.12,255.83,rice,Kharif,9,WB
117.43,71.76,60.27,31.6,87.34,6.17,232.54,rice,Kharif,9,AP
37.57,58.93,54.93,33.26,67.25,6.62,229.72,rice,Kharif,10,AP
114.4,52.98,37.46,26.88,72.29,6.97,196.36,rice,Kharif,8,WB
61.64,40.64,21.96,23.69,79.24,6.23,229.09,rice,Kharif,10,UP
128.12,44.48,57.6,32.57,86.14,6.29,211.66,rice,Kharif,10,TN
47.46,32.54,55.0,28.86,70.51,5.98,159.65,rice,Kharif,8,PB
101.08,71.3,95.57,23.68,80.02,6.67,215.04,rice,Kharif,10,PB
87.26,81.68,62.37,29.09,85.37,6.03,218.41,rice,Kharif,8,TN
61.09,37.68,55.03,27.0,65.86,6.51,215.75,rice,Kharif,7,TN
